Date,High,Low,Close
24-05-2024,23026.400390625,22404.55078125,22957.099609375
31-05-2024,23110.80078125,22417,22530.69921875
07-06-2024,23338.69921875,21281.44921875,23290.150390625
14-06-2024,23490.400390625,23206.650390625,23465.599609375
21-06-2024,23667.099609375,23398.19921875,23501.099609375
28-06-2024,24174,23350,24010.599609375
05-07-2024,24401,23992.69921875,24323.849609375
12-07-2024,24592.19921875,24141.80078125,24502.150390625
19-07-2024,24854.80078125,24504.44921875,24530.900390625
26-07-2024,24861.150390625,24074.19921875,24834.849609375
02-08-2024,25078.30078125,24686.849609375,24717.69921875
09-08-2024,24419.75,23893.69921875,24367.5
16-08-2024,24563.900390625,24099.69921875,24541.150390625
23-08-2024,24867.349609375,24522.94921875,24823.150390625
30-08-2024,25268.349609375,24874.69921875,25235.900390625
06-09-2024,25333.650390625,24801.30078125,24852.150390625
13-09-2024,25433.349609375,24753.150390625,25356.5
20-09-2024,25849.25,25285.55078125,25790.94921875
27-09-2024,26277.349609375,25847.349609375,26178.94921875
04-10-2024,26134.69921875,24966.80078125,25014.599609375
11-10-2024,25234.05078125,24694.349609375,24964.25
18-10-2024,25212.05078125,24567.650390625,24854.05078125
25-10-2024,24978.30078125,24073.900390625,24180.80078125
01-11-2024,24498.19921875,24134.900390625,24304.349609375
08-11-2024,24537.599609375,23816.150390625,24148.19921875
14-11-2024,24336.80078125,23484.150390625,23532.69921875
22-11-2024,23956.099609375,23263.150390625,23907.25
29-11-2024,24354.55078125,23873.349609375,24131.099609375
06-12-2024,24857.75,24008.650390625,24677.80078125
13-12-2024,24792.30078125,24180.80078125,24768.30078125
20-12-2024,24781.25,23537.349609375,23587.5
27-12-2024,23938.849609375,23647.19921875,23813.400390625
03-01-2025,24226.69921875,23460.44921875,24004.75
10-01-2025,24089.94921875,23344.349609375,23431.5
17-01-2025,23391.650390625,23047.25,23203.19921875
24-01-2025,23426.30078125,22976.849609375,23092.19921875
01-02-2025,23632.44921875,22786.900390625,23482.150390625
07-02-2025,23807.30078125,23222,23559.94921875
14-02-2025,23568.599609375,22774.849609375,22929.25
21-02-2025,23049.94921875,22720.30078125,22795.900390625
28-02-2025,22668.05078125,22104.849609375,22124.69921875
07-03-2025,22633.80078125,21964.599609375,22552.5
13-03-2025,22676.75,22314.69921875,22397.19921875
21-03-2025,23402.69921875,22353.150390625,23350.400390625
28-03-2025,23869.599609375,23412.19921875,23519.349609375
04-04-2025,23565.150390625,22857.44921875,22904.44921875
11-04-2025,22923.900390625,21743.650390625,22828.55078125
17-04-2025,23872.349609375,23207,23851.650390625
25-04-2025,24365.44921875,23847.849609375,24039.349609375
02-05-2025,24589.150390625,24054.05078125,24346.69921875
09-05-2025,24526.400390625,23935.75,24008
16-05-2025,25116.25,24378.849609375,25019.80078125
23-05-2025,25062.94921875,24462.400390625,24853.150390625
30-05-2025,25079.19921875,24677.30078125,24750.69921875
06-06-2025,25029.5,24502.150390625,25003.05078125
13-06-2025,25222.400390625,24473,24718.599609375
20-06-2025,25136.19921875,24703.599609375,25112.400390625
27-06-2025,25654.19921875,24824.849609375,25637.80078125
04-07-2025,25669.349609375,25331.650390625,25461
11-07-2025,25548.69921875,25129,25149.849609375
18-07-2025,25255.30078125,24918.650390625,24968.400390625
25-07-2025,25246.25,24806.349609375,24837
01-08-2025,24956.5,24535.05078125,24565.349609375
08-08-2025,24736.25,24337.5,24363.30078125
14-08-2025,24702.599609375,24347.44921875,24631.30078125
22-08-2025,25153.650390625,24852.849609375,24870.099609375
29-08-2025,25021.55078125,24404.69921875,24426.849609375
05-09-2025,24980.75,24432.69921875,24741
12-09-2025,25139.44921875,24751.55078125,25114
19-09-2025,25448.94921875,25048.75,25327.05078125
26-09-2025,25331.69921875,24629.44921875,24654.69921875
03-10-2025,24904.80078125,24587.69921875,24894.25
10-10-2025,25330.75,24881.650390625,25285.349609375
17-10-2025,25781.5,25060.55078125,25709.849609375
24-10-2025,26104.19921875,25718.19921875,25795.150390625
31-10-2025,26097.849609375,25711.19921875,25722.099609375
07-11-2025,25803.099609375,25318.44921875,25492.30078125
14-11-2025,26010.69921875,25449.25,25910.05078125
